variant,concurrency,status,measured_requests,warmup_requests,errors,ttft_avg_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_avg_ms,itl_p95_ms,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,request_throughput_rps,output_token_throughput_tps,benchmark_duration_s,input_tokens_avg,output_tokens_avg,dataset_sha256,pod,pod_uid,node,api_image_id,aiperf_image_id
base,1,passed,256,8,0,127.85022607421874,112.512659,241.1610125,268.36595339999997,28.24077963668262,28.866132586799445,6268.010267335937,3719.6872985,14880.9425565,14966.207172049999,0.15947236852505653,34.64537206206853,1605.29183744,842.5,217.25,f5641f84707d72f644efa019c7b8ae0f76ed27e6693949fe42bbe4e8799e0bbe,base-transformers-api-aiperf-c1-qcgql,b5f2b9fe-947c-43d3-b101-c2752bbfe525,local-k8s-control-plane,sha256:f4db21dae49a3d704a1824f6f66a3f0988e5ded7ccc2b401b16b253852d878a2,docker.io/library/import-2026-09-18@sha256:0e669e8a5f9f565b3921681b0c5b3f5505385e38e5313f12ed89f0be2d8f761c
enhanced,1,passed,256,8,0,135.43933953515625,119.96346849999999,253.12049025,282.64312679999995,29.23641052084761,29.89801983730159,6486.203225710938,3838.112901,15355.99957525,15489.065666749999,0.1541244471657292,33.48353614675467,1660.993355776,842.5,217.25,f5641f84707d72f644efa019c7b8ae0f76ed27e6693949fe42bbe4e8799e0bbe,enhanced-transformers-api-aiperf-c1-9td92,7a1e209d-465f-4bad-ac6a-9a6956456a99,local-k8s-control-plane,sha256:216a5ce139661f9fc8c4e3b1c42be0397a43928bfa164bff4d9edc25e1d38af1,docker.io/library/import-2026-09-18@sha256:0e669e8a5f9f565b3921681b0c5b3f5505385e38e5313f12ed89f0be2d8f761c
base,2,passed,256,8,0,6379.498149113281,3866.968591,14999.236551,15091.065109549998,28.272061721374232,29.000400268249187,12524.437028066406,10997.386894,22313.537096,29558.6797664,0.15946909293423137,34.64466043996176,1605.324011264,842.5,217.25,f5641f84707d72f644efa019c7b8ae0f76ed27e6693949fe42bbe4e8799e0bbe,base-transformers-api-aiperf-c2-vdc8w,3324ed4c-40b7-42d2-9144-fce7d80bc225,local-k8s-control-plane,sha256:f4db21dae49a3d704a1824f6f66a3f0988e5ded7ccc2b401b16b253852d878a2,docker.io/library/import-2026-09-18@sha256:0e669e8a5f9f565b3921681b0c5b3f5505385e38e5313f12ed89f0be2d8f761c
enhanced,2,passed,256,8,0,4224.703754363281,2054.4985855,14685.7449205,15033.248795449997,30.52822965641405,32.2733568996063,10880.914321710938,8335.7593655,24422.9465165,31285.78713555,0.1837714525435246,39.924348065080714,1393.032874496,842.5,217.25,f5641f84707d72f644efa019c7b8ae0f76ed27e6693949fe42bbe4e8799e0bbe,enhanced-transformers-api-aiperf-c2-hsqgl,a65d842a-5693-466d-a6ee-8dc9488c6746,local-k8s-control-plane,sha256:216a5ce139661f9fc8c4e3b1c42be0397a43928bfa164bff4d9edc25e1d38af1,docker.io/library/import-2026-09-18@sha256:0e669e8a5f9f565b3921681b0c5b3f5505385e38e5313f12ed89f0be2d8f761c
